"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"795068";"1";"Embden";"Kiøbenhavn";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"795068";"2";"Embden";"Kiøbenhavn";"Rd.";"150";"Tagsteen";"Daler";"1 1/2";"";"";"";"";"";"";""
"795075";"1";"Grønland";"Kiøbenhavn";"Ladning";"-";"Grønlandse vare";"";"";"";"";"";"";"";"";""
"795115";"1";"St. Thomas";"Kiøbenhavn";"Ladning";"-";"Sukker caffe toback huder pokkenholt";"";"";"";"";"";"";"";"";""
"795115";"2";"St. Thomas";"Kiøbenhavn";"Pund";"452";"Caffe";"Daler";"2";"Skilling";"13";"";"";"";"";""
"795115";"3";"St. Thomas";"Kiøbenhavn";"Oxehovder";"17 5/6";"Rum";"Daler";"8 1/2";"Skilling";"20";"";"";"";"";""
"795128";"1";"Amsterdam";"Kiøbenhavn";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"795128";"2";"Amsterdam";"Kiøbenhavn";"Rd.";"225";"Muursteen";"Daler";"2";"Skilling";"12";"";"";"";"";""
"795140";"1";"Island";"Kiøbenhavn";"Ladning";"-";"Islandske vare";"";"";"";"";"";"";"";"";""
"795168";"1";"Bengalen";"Kiøbenhavn";"Ladning";"-";"Østindiske vare";"";"";"";"";"";"";"";"";""
"795180";"1";"London";"Østersøen";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"795190";"1";"Messina";"Kiøbenhavn";"Kister";"1984";"Citroner";"Daler";"82 1/2";"Skilling";"8";"";"";"";"";""
"795190";"2";"Messina";"Kiøbenhavn";"Pund";"5898";"Mandler";"Daler";"11";"Skilling";"3";"";"";"";"";""
"795190";"3";"Messina";"Kiøbenhavn";"Piber";"5";"Bom ollie";"Daler";"3 1/2";"Skilling";"12";"";"";"";"";""
"795190";"4";"Messina";"Kiøbenhavn";"Anker";"2";"Viin";"Skilling";"16";"";"";"";"";"";"";""
"795190";"5";"Messina";"Kiøbenhavn";"Rd.";"880";"Krammerie";"Daler";"8 1/2";"Skilling";"15";"";"";"";"";""
"795190";"6";"Messina";"Kiøbenhavn";"Kister";"32";"Frugt";"Daler";"1";"Skilling";"16";"";"";"";"";""
