"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"1014071";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014101";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014115";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014130";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014153";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014169";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014175";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014227";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014243";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014254";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014268";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014286";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014311";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014335";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014578";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014582";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014628";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014640";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014647";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014705";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014710";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014719";"1";"Fyrpenge";"Daler";"1 1/2";"";"";"";"";"N";""
"1014739";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014751";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014772";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014781";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1014793";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1014805";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1014812";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1014883";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1014891";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014898";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014902";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014917";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1014934";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1014959";"1";"Fyrpenge";"Daler";"1";"Skilling";"18";"";"";"N";""
"1014964";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"6";"";"";"N";""
"1014968";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014979";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1014996";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1015043";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1015125";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1015134";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1015143";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1015155";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1015164";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1015168";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1015176";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1015184";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1015189";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1015216";"1";"Fyrpenge";"Daler";"1 1/2";"";"";"";"";"N";""
"1015376";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1015379";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016129";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1016166";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1016174";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016211";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"12";"";"";"N";""
"1016231";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016241";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1016259";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016267";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1016278";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016290";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016298";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016306";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016319";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016331";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1016347";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1016359";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1016378";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016390";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1016400";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016422";"1";"Fyrpenge";"Daler";"2 1/2";"Skilling";"18";"";"";"N";""
"1016449";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016464";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016475";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1017496";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1017508";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
